['8630351722#', '112.467936', '38.036499']
['8610164607#', '112.469087', '38.036289']
['8630011528#', '112.664365', '38.046973']
['8630504677#', '112.668523', '38.038865']
['8630702475#', '112.532863', '38.036549']
['8630007875#', '112.533401', '38.036529']
['8630064036#', '112.532628', '38.033688']
['8630500969#', '112.531089', '38.032681']
['0226608973#', '112.649788', '38.038679']
['8630749870#', '112.459152', '38.037488']
['8630701583#', '112.567918', '38.032824']
['8630496333#', '112.569099', '38.032456']
['8630506831#', '112.467011', '38.03387']
['8630749573#', '112.465098', '38.032786']
['8630255765#', '112.466411', '38.032631']
['8630794190#', '112.469754', '38.033644']
['8610168203#', '112.480286', '38.032339']
['8630590361#', '112.481308', '38.028098']
['8630354028#', '112.46904', '38.033214']
['8630483995#', '112.465962', '38.031899']
['8630704526#', '112.520112', '38.028458']
['8630027672#', '112.52042', '38.028426']
['8630225021#', '112.542499', '38.027509']
['8630431704#', '112.472529', '38.031175']
['8630777790#', '112.469058', '38.031269']
['8630063174#', '112.483145', '38.027366']
['8630704393#', '112.484262', '38.027949']
['8630487967#', '112.482714', '38.02616']
['8630434443#', '112.533729', '38.024962']
['8630003178#', '112.482489', '38.025664']
['8630703761#', '112.686308', '38.025349']
['8630068859#', '112.483766', '38.024716']
['8630746171#', '112.482535', '38.025589']
['8630068441#', '112.450116', '38.024334']
['8630862006#', '112.448908', '38.018613']
['8630197516#', '112.480867', '38.023692']
['8630493311#', '112.626791', '38.021163']
['8630249346#', '112.456086', '38.019286']
['8630484210#', '112.470295', '38.019482']
['8630741616#', '112.48362', '38.024321']
['8630430179#', '112.483901', '38.023187']
['0100326239#', '112.48166', '38.0231']
['8630491431#', '112.486361', '38.021389']
['8630807859#', '112.488616', '38.021161']
['8630774782#', '112.448243', '38.017826']
['0106659508#', '112.447922', '38.017781']
['8630747848#', '112.454513', '38.017903']
['8630595880#', '112.445295', '38.017227']
['8630221114#', '112.445607', '38.015869']
['8630704094#', '112.45006', '38.015478']
['8630591472#', '112.456253', '38.016975']
['8630490063#', '112.485003', '38.020794']
['8630223762#', '112.486821', '38.019312']
['8630747021#', '112.505613', '38.020097']
['8630031785#', '112.508004', '38.018439']
['8630438598#', '112.607918', '38.019018']
['8630063777#', '112.444338', '38.017015']
['8630223239#', '112.493842', '38.017082']
['8630504250#', '112.493959', '38.017104']
['8630149729#', '112.49404', '38.017105']
['8630709778#', '112.464157', '38.015636']
